City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Adiake,CI,78.39,light rain,5.2863,-3.304,Monhotel résidence Inn Adiake
419,Estelle,US,80.01,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
424,Westport,US,79.86,broken clouds,41.1415,-73.3579,The Westport Inn
425,Sabha,LY,88.93,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
427,Ambilobe,MG,79.45,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
429,Isabela,PH,78.85,broken clouds,6.7085,121.9711,Isawad Resort
440,Ust-Nera,RU,76.53,broken clouds,64.5667,143.2,Hotel Ust-Nera
443,Wewak,PG,85.15,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
444,Linxia,CN,86.41,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
448,Paveh,IR,75.4,clear sky,35.0434,46.3565,اقامتگاه بوم‌گردی حسن ساعدی
449,Aloleng,PH,86.09,moderate rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
454,Genhe,CN,77.04,light rain,50.7833,121.5167,Companionship Hotel
456,Hobyo,SO,81.12,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
458,Waddan,LY,83.61,clear sky,29.1614,16.139,محل الشريف محمد العايب
459,Sorong,ID,80.28,light rain,-0.8833,131.25,waigo splash hotel
463,Pasni,PK,84.78,broken clouds,25.2631,63.471,Kashmiri Hotal
468,Poum,NC,75.47,clear sky,-20.2333,164.0167,Gîte kajeon
470,Cabo Rojo,PR,78.98,scattered clouds,18.0866,-67.1457,Hotel Perichi's
475,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
476,Lorengau,PG,84.24,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
479,Hollins,US,75.97,scattered clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
480,Koumac,NC,77.88,clear sky,-20.5667,164.2833,Le Monitel
481,Taksimo,RU,85.48,few clouds,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
484,Teknaf,BD,86.18,overcast clouds,20.8624,92.3058,Forestry Guesthouse
485,Noumea,NC,80.58,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
486,Russell,US,75.9,scattered clouds,32.3502,-85.1999,Macs
489,Labuhan,ID,82.29,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
490,Guiyang,CN,82.89,broken clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
491,Zeya,RU,83.77,clear sky,53.75,127.2667,Kapital Inn
494,Tuytepa,UZ,82.74,broken clouds,41.0321,69.3625,Avalon Hotel & Park
497,Zaysan,KZ,80.67,clear sky,47.4667,84.8667,Ерлан үй
500,Forestville,US,82.24,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
501,Mbour,SN,79.65,scattered clouds,14.422,-16.9638,Tama Lodge
502,Bobo Dioulasso,BF,77.45,clear sky,11.1771,-4.2979,RAN Hotel Somketa
507,Dabhol,IN,81.59,overcast clouds,17.6,73.1667,Ashwamedh Resort
508,Mamallapuram,IN,87.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
509,Salinopolis,BR,79.09,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
511,Dingzhou,CN,86.11,light rain,38.5131,114.9956,宜家时尚宾馆
517,Timberlake,US,75.83,few clouds,37.3207,-79.2575,Timberlake Motel
